,ZIPCODE,Year,AAWDT,Total_Population,Pop_fraction,RACK_CAPACITY,Miles_Bike_Lanes,Sidewalk_length
109,98112,2008,67900.0,23481.872901127066,0.039674038050800116,6.0,0.07475154,
110,98112,2009,66400.0,23746.45906088785,0.039674038050800116,2.0,0.25816308000000004,
111,98112,2010,64200.0,24148.0,0.039674038050800116,2.0,,
112,98112,2011,76500.0,24704.78545000493,0.039674038050800116,,,
113,98112,2012,65356.0,25229.831669569216,0.039674038050800116,2.0,1.5565677300000003,
114,98112,2013,66500.0,25930.475181546346,0.039674038050800116,2.0,,
115,98112,2014,66800.0,26585.929964183615,0.039674038050800116,10.0,0.18264838,
116,98112,2015,349574.7438845,27271.37831958729,0.039674038050800116,6.0,1.4671118700000003,
117,98112,2016,349574.7438845,28153.927296027337,0.039674038050800116,4.0,0.15507779,128.02643295298856
118,98112,2017,376131.0,28908.924240134063,0.039674038050800116,2.0,,
119,98112,2018,395635.0,29447.459632635622,0.039674038050800116,,,
120,98115,2007,205505.0,38745.002056977624,0.06618144777051227,2.0,,29417.404377683473
121,98115,2008,212100.0,39170.8134919331,0.06618144777051227,2.0,0.38779727999999997,
122,98115,2009,222100.0,39612.177567114646,0.06618144777051227,10.0,1.27899008,
123,98115,2010,233800.0,40282.0,0.06618144777051227,2.0,1.0398842899999998,
124,98115,2011,213700.0,41210.79043801137,0.06618144777051227,2.0,0.02366136,
125,98115,2012,252685.0,42086.635717806326,0.06618144777051227,4.0,0.1266892,
126,98115,2013,286900.0,43255.400085433575,0.06618144777051227,8.0,0.48258875,
127,98115,2014,301800.0,44348.7837840502,0.06618144777051227,2.0,0.12525977,
128,98115,2015,1037250.0120191699,45492.20065718135,0.06618144777051227,2.0,0.20315595000000003,
129,98115,2016,1037750.0120191701,46964.406962836394,0.06618144777051227,4.0,0.74012711,
130,98115,2017,1149300.0,48223.83991390924,0.06618144777051227,2.0,0.13941699000000002,38.21140177594552
131,98115,2018,1195572.0,49122.186885946176,0.06618144777051227,2.0,,
132,98116,2007,22800.0,21076.88868662307,0.0360020372621825,2.0,0.42437358999999997,11611.924894592586
133,98116,2008,24100.0,21308.525794367957,0.0360020372621825,2.0,0.44751518000000007,
134,98116,2009,28700.0,21548.62338086945,0.0360020372621825,2.0,,
135,98116,2010,29200.0,21913.0,0.0360020372621825,2.0,,
136,98116,2011,27500.0,22418.252590937467,0.0360020372621825,,,
137,98116,2012,43865.0,22894.70355206519,0.0360020372621825,2.0,,
138,98116,2013,31900.0,23530.499530115336,0.0360020372621825,2.0,,
139,98116,2014,28200.0,24125.28918772385,0.0360020372621825,12.0,,
140,98116,2015,173869.05671017,24747.296385502577,0.0360020372621825,8.0,,
141,98116,2016,173869.05671017,25548.16170439983,0.0360020372621825,2.0,,
142,98116,2017,219419.0,26233.280473499162,0.0360020372621825,,,
143,98116,2018,222967.0,26721.972127296027,0.0360020372621825,,,
144,98117,2007,134100.0,31813.953826438406,0.054342325764794794,,,19212.7168376706
145,98117,2008,127300.0,32163.592350409093,0.054342325764794794,2.0,0.25723725000000003,
146,98117,2009,127400.0,32526.001320934512,0.054342325764794794,2.0,0.35927076,
147,98117,2010,135600.0,33076.0,0.054342325764794794,,,
148,98117,2011,134800.0,33838.64019978313,0.054342325764794794,,,
149,98117,2012,134162.0,34557.80653895442,0.054342325764794794,2.0,0.43114938,
150,98117,2013,129500.0,35517.4920119607,0.054342325764794794,2.0,,
151,98117,2014,128100.0,36415.281575920875,0.054342325764794794,4.0,,
152,98117,2015,404292.21875817,37354.15393815924,0.054342325764794794,12.0,0.6309443600000001,
153,98117,2016,404292.21875817,38562.9989747971,0.054342325764794794,2.0,,
154,98117,2017,415549.0,39597.13343410114,0.054342325764794794,2.0,,
155,98117,2018,416933.0,40334.77616403246,0.054342325764794794,2.0,,
156,98118,2007,171331.0,41928.705865343545,0.07161962343508692,6.0,1.9223763100000002,26708.780427892005
157,98118,2008,179800.0,42389.50652252489,0.07161962343508692,2.0,0.23353093000000003,
158,98118,2009,157100.0,42867.13779121349,0.07161962343508692,10.0,0.26265592000000004,
159,98118,2010,182500.0,43592.0,0.07161962343508692,2.0,0.18644931,
160,98118,2011,198100.0,44597.109795288015,0.07161962343508692,2.0,1.05604045,
161,98118,2012,200281.0,45544.92389182795,0.07161962343508692,2.0,0.39204616000000003,
162,98118,2013,205300.0,46809.726441691586,0.07161962343508692,2.0,,
163,98118,2014,219200.0,47992.95424046266,0.07161962343508692,2.0,,
164,98118,2015,627794.9148975,49230.32647455065,0.07161962343508692,2.0,0.93024867,1128.7823095539184
165,98118,2016,627794.9148975,50823.50499786416,0.07161962343508692,6.0,,2848.370067600607
166,98118,2017,697756.0,52186.42643183387,0.07161962343508692,,1.8357969100000002,
167,98118,2018,650390.0,53158.59120034174,0.07161962343508692,4.0,0.29353281,
168,98119,2007,125800.0,18303.892287976865,0.031265402687871716,4.0,,12321.30606560101
169,98119,2008,135400.0,18505.053888870632,0.031265402687871716,2.0,0.03038306,
170,98119,2009,125000.0,18713.56285939605,0.031265402687871716,2.0,0.16766325999999998,
171,98119,2010,128600.0,19030.0,0.031265402687871716,,0.25412384,
172,98119,2011,196700.0,19468.77866132159,0.031265402687871716,,,
173,98119,2012,130331.0,19882.545000492886,0.031265402687871716,2.0,,
174,98119,2013,129000.0,20434.6920119607,0.031265402687871716,4.0,,
175,98119,2014,130400.0,20951.227729767026,0.031265402687871716,16.0,,
176,98119,2015,796591.08232267,21491.400092005388,0.031265402687871716,,,
177,98119,2016,796591.0823226699,22186.89897479709,0.031265402687871716,6.0,,
178,98119,2017,785160.0,22781.879587947293,0.031265402687871716,2.0,0.06734743,
179,98119,2018,935876.0,23206.276164032464,0.031265402687871716,2.0,,57.9273933623055
180,98121,2007,119000.0,8272.820681497058,0.014131041961029146,6.0,,4043.061001862583
181,98121,2008,110400.0,8363.73980547432,0.014131041961029146,2.0,0.26168972,
182,98121,2009,113500.0,8457.979724312423,0.014131041961029146,2.0,0.23498193,
183,98121,2010,133000.0,8601.0,0.014131041961029146,2.0,0.20297149000000003,
184,98121,2011,182100.0,8799.315042881082,0.014131041961029146,2.0,0.08074629,
185,98121,2012,185336.0,8986.325252193343,0.014131041961029146,2.0,,
186,98121,2013,169900.0,9235.879453225118,0.014131041961029146,4.0,,
187,98121,2014,169700.0,9469.33839746328,0.014131041961029146,2.0,,
188,98121,2015,610003.8235234998,9713.48040942398,0.014131041961029146,2.0,,
189,98121,2016,610003.8235234998,10027.825437847074,0.014131041961029146,6.0,,139.91097351411634
190,98121,2017,648921.0,10296.739166365458,0.014131041961029146,2.0,,
191,98121,2018,765991.0,10488.553929944468,0.014131041961029146,2.0,0.18369648,
192,98122,2007,144354.0,36219.19957940394,0.061867052213058195,2.0,0.9133250999999999,13793.702251654482
193,98122,2008,149000.0,36617.252193342756,0.061867052213058195,2.0,1.0853596600000002,
194,98122,2009,141100.0,37029.84356455164,0.061867052213058195,2.0,0.42968335999999996,
195,98122,2010,166800.0,37656.0,0.061867052213058195,2.0,0.50043182,
196,98122,2011,143500.0,38524.24221075806,0.061867052213058195,2.0,,
197,98122,2012,141689.0,39342.99077974567,0.061867052213058195,4.0,0.6055227400000001,
198,98122,2013,159800.0,40435.56292182828,0.061867052213058195,12.0,,
199,98122,2014,181800.0,41457.668491440214,0.061867052213058195,2.0,,
200,98122,2015,680675.319147,42526.54555252522,0.061867052213058195,2.0,0.53648534,
201,98122,2016,680675.3191469997,43902.7781290047,0.061867052213058195,2.0,0.30635839,
202,98122,2017,789824.0,45080.1081326192,0.061867052213058195,2.0,,
203,98122,2018,874622.0,45919.89149935925,0.061867052213058195,4.0,,
204,98125,2007,272700.0,32586.314599283673,0.05566161732330036,2.0,,19680.29274781054
205,98125,2008,239700.0,32944.44144514178,0.05566161732330036,,,
206,98125,2009,258300.0,33315.648771070875,0.05566161732330036,2.0,1.23601325,
207,98125,2010,274400.0,33879.0,0.05566161732330036,2.0,0.6702638599999999,
208,98125,2011,233700.0,34660.1551375152,0.05566161732330036,,0.53857118,
209,98125,2012,251440.0,35396.78098117175,0.05566161732330036,6.0,,
210,98125,2013,272000.0,36379.765143101235,0.05566161732330036,2.0,,
211,98125,2014,244300.0,37299.350722899486,0.05566161732330036,8.0,0.30460322,
212,98125,2015,805249.9943941701,38261.016485394146,0.05566161732330036,12.0,0.25204932999999996,
213,98125,2016,805249.99439417,39499.20916275096,0.05566161732330036,8.0,,599.1663646681935
214,98125,2017,934258.0,40558.449740413365,0.05566161732330036,2.0,0.5115749399999999,
215,98125,2018,994790.0,41314.00053395984,0.05566161732330036,16.0,,
216,98126,2007,149900.0,10825.55479249499,0.018491440212926757,2.0,,11676.734379724096
217,98126,2008,125000.0,10944.52871882496,0.018491440212926757,2.0,0.19613983,
218,98126,2009,148300.0,11067.848133604968,0.018491440212926757,2.0,0.44144903,
219,98126,2010,148700.0,11255.0,0.018491440212926757,,,
220,98126,2011,144500.0,11514.508871948214,0.018491440212926757,8.0,,
221,98126,2012,148225.0,11759.224591726086,0.018491440212926757,2.0,0.017880860000000002,
222,98126,2013,155800.0,12085.783425886373,0.018491440212926757,2.0,,
223,98126,2014,158900.0,12391.280509644137,0.018491440212926757,,,
224,98126,2015,501605.1653425,12710.757122202873,0.018491440212926757,6.0,,
225,98126,2016,501605.1653425,13122.099209739428,0.018491440212926757,,,
226,98126,2017,505892.0,13473.991316991423,0.018491440212926757,2.0,,
227,98126,2018,538043.0,13724.994126441692,0.018491440212926757,12.0,,
228,98133,2007,224400.0,24008.589353662144,0.04100975914303552,,,18144.67970520472
229,98133,2008,215300.0,24272.446143988433,0.04100975914303552,,,
230,98133,2009,200100.0,24545.940227713338,0.04100975914303552,10.0,1.1643541499999999,
231,98133,2010,214900.0,24961.0,0.04100975914303552,,0.05005241,
232,98133,2011,219300.0,25536.53095981336,0.04100975914303552,,0.17857967,
233,98133,2012,217880.0,26079.254112312294,0.04100975914303552,2.0,,
234,98133,2013,214000.0,26803.4864587783,0.04100975914303552,,,
235,98133,2014,216500.0,27481.00868958039,0.04100975914303552,2.0,,
236,98133,2015,659800.784906,28189.534298294613,0.04100975914303552,2.0,0.12633363,
237,98133,2016,659800.784906,29101.79639043144,0.04100975914303552,,0.12524866,
238,98133,2017,674790.0,29882.212106923405,0.04100975914303552,2.0,,
239,98133,2018,647519.0,30438.87857753097,0.04100975914303552,6.0,,
240,98134,2007,293905.0,2264.180895738179,0.003867512240002629,,,8327.456353336454
241,98134,2008,380600.0,2289.064469490356,0.003867512240002629,2.0,,
242,98134,2009,365700.0,2314.8569086189336,0.003867512240002629,2.0,0.57019486,
243,98134,2010,383900.0,2354.0,0.003867512240002629,2.0,0.15193024,
244,98134,2011,402500.0,2408.276666776197,0.003867512240002629,,0.14270927,
245,98134,2012,438247.0,2459.4593237603917,0.003867512240002629,2.0,,
246,98134,2013,461900.0,2527.759589918838,0.003867512240002629,4.0,,
247,98134,2014,490100.0,2591.6547596359214,0.003867512240002629,,,
248,98134,2015,1465893.482435,2658.4737686064473,0.003867512240002629,,,
249,98134,2016,1465893.482435,2744.5065783853056,0.003867512240002629,4.0,0.060974640000000004,800.4876266094768
250,98134,2017,1505066.0,2818.1053363125557,0.003867512240002629,2.0,,567.289128550929
251,98134,2018,1649372.0,2870.602947458351,0.003867512240002629,,,
252,98136,2007,56300.0,19299.40088062301,0.03296585942890941,2.0,1.08033724,9800.675632717723
253,98136,2008,53900.0,19511.50322018861,0.03296585942890941,2.0,0.10327949,
254,98136,2009,54100.0,19731.35253672001,0.03296585942890941,,2.5349229600000003,
255,98136,2010,56500.0,20065.0,0.03296585942890941,2.0,,
256,98136,2011,54100.0,20527.642871225315,0.03296585942890941,,,
257,98136,2012,51944.0,20963.9130549075,0.03296585942890941,2.0,,
258,98136,2013,52700.0,21546.090132422043,0.03296585942890941,2.0,,
259,98136,2014,54900.0,22090.719096047054,0.03296585942890941,,,
260,98136,2015,155945.10618700003,22660.27024940032,0.03296585942890941,2.0,,
261,98136,2016,155945.10618700003,23393.595792396412,0.03296585942890941,12.0,,
262,98136,2017,154033.0,24020.93609732856,0.03296585942890941,4.0,,
263,98136,2018,153832.0,24468.414673216575,0.03296585942890941,,,
264,98144,2007,176900.0,22769.734216146946,0.038893635198633064,6.0,0.05255316,16981.401763607206
265,98144,2008,174600.0,23019.975865014952,0.038893635198633064,10.0,0.9453012300000001,
266,98144,2009,172100.0,23279.357518154637,0.038893635198633064,2.0,1.53122095,
267,98144,2010,179300.0,23673.0,0.038893635198633064,,0.9985634600000001,
268,98144,2011,197300.0,24218.833276377616,0.038893635198633064,8.0,,
269,98144,2012,175714.0,24733.551644596326,0.038893635198633064,2.0,0.64065672,
270,98144,2013,165700.0,25420.413242204188,0.038893635198633064,4.0,,
271,98144,2014,179200.0,26062.974989320803,0.038893635198633064,4.0,,
272,98144,2015,667493.9663960001,26734.94032464759,0.038893635198633064,2.0,0.7644079099999999,
273,98144,2016,667493.9663960001,27600.12923964118,0.038893635198633064,2.0,,
274,98144,2017,830227.0,28340.275117471167,0.038893635198633064,2.0,0.47447596000000003,
275,98144,2018,955370.0,28868.217321657412,0.038893635198633064,2.0,,
276,98146,2007,9600.0,5799.919626720994,0.009907008839089147,,,1526.521221540575
277,98146,2008,16000.0,5863.661321591693,0.009907008839089147,10.0,,
278,98146,2009,8800.0,5929.731163539579,0.009907008839089147,,,
279,98146,2010,9400.0,6030.0,0.009907008839089147,,,
280,98146,2011,8900.0,6169.034962047777,0.009907008839089147,,,
281,98146,2012,9428.0,6300.144317024283,0.009907008839089147,,,
282,98146,2013,9300.0,6475.102093122598,0.009907008839089147,,,
283,98146,2014,9300.0,6638.775786153189,0.009907008839089147,,,
284,98146,2015,37055.175575,6809.939177866133,0.009907008839089147,,,
285,98146,2016,37055.175575,7030.320589491671,0.009907008839089147,,,
286,98146,2017,41687.0,7218.850967699537,0.009907008839089147,,,
287,98146,2018,41687.0,7353.328705681333,0.009907008839089147,,,
288,98155,2011,31600.0,,,,,
289,98155,2014,139000.0,,,,,
290,98155,2015,77872.466,,,,,
291,98155,2016,77872.466,,,,,
292,98155,2017,77872.0,,,,,
293,98155,2018,70651.0,,,,,
294,98177,2007,8300.0,7707.256379587947,0.01316498537771498,,,7008.803091629368
295,98177,2008,8100.0,7791.959895508165,0.01316498537771498,,,
296,98177,2009,8300.0,7879.757182992146,0.01316498537771498,,,
297,98177,2010,8800.0,8012.999999999999,0.01316498537771498,,,
298,98177,2011,8000.0,8197.757404790851,0.01316498537771498,,,
299,98177,2012,8694.0,8371.982821279531,0.01316498537771498,,,
300,98177,2013,8400.0,8604.476463049978,0.01316498537771498,,,
301,98177,2014,9300.0,8821.975186475207,0.01316498537771498,4.0,,
302,98177,2015,64748.453645999994,9049.42663884599,0.01316498537771498,,,
303,98177,2016,64748.453645999994,9342.281738573258,0.01316498537771498,,,
304,98177,2017,44232.0,9592.811410311175,0.01316498537771498,,,
305,98177,2018,41706.0,9771.512921828278,0.01316498537771498,,,
306,98178,2007,18700.0,6938.7429829461435,0.011852265632701343,,,6772.162307569418
307,98178,2008,15500.0,7015.000460026944,0.011852265632701343,,0.37954661,
308,98178,2009,17600.0,7094.04321953143,0.011852265632701343,2.0,,
309,98178,2010,20300.0,7214.0,0.011852265632701343,,,
310,98178,2011,20900.0,7380.334695889331,0.011852265632701343,,,
311,98178,2012,16870.0,7537.1875792724995,0.011852265632701343,8.0,,
312,98178,2013,16400.0,7746.498590346006,0.011852265632701343,,,
313,98178,2014,17400.0,7942.3098708638645,0.011852265632701343,,,
314,98178,2015,55649.481491,8147.081464200046,0.011852265632701343,,0.43139867,
315,98178,2016,56049.481491,8410.735113199487,0.011852265632701343,,,
316,98178,2017,76079.0,8636.283728189794,0.011852265632701343,,,
317,98178,2018,76479.0,8797.166381888082,0.011852265632701343,,,
318,98195,2007,119600.0,5488.282154240463,0.009374691946242566,,,
319,98195,2008,130200.0,5548.598922222588,0.009374691946242566,,,
320,98195,2009,132200.0,5611.118742812079,0.009374691946242566,,,
321,98195,2010,133200.0,5706.0,0.009374691946242566,,0.12565121,
322,98195,2011,163100.0,5837.564426773569,0.009374691946242566,,,
323,98195,2012,175016.0,5961.629099990143,0.009374691946242566,,,
324,98195,2013,178500.0,6127.186159760787,0.009374691946242566,,,
325,98195,2014,179600.0,6282.06544540466,0.009374691946242566,,,
326,98195,2015,310496.24758900004,6444.031998159892,0.009374691946242566,,,
327,98195,2016,310496.24758900004,6652.572020504059,0.009374691946242566,,,39.95057118947206
